,distance,fl_day,week_num,departures_performed,payload,passengers,freight,air_time,aircraft_type,distance_group,arr_delay,sdomt_gallons,tdomt_gallons,sdomt_cost,tdomt_cost,Year,mkt_unique_carrier_DL,mkt_unique_carrier_UA,mkt_unique_carrier_WN,origin_city_Charlotte,origin_city_Chicago,origin_city_Dallas/Fort Worth,origin_city_Denver,origin_city_Detroit,origin_city_Houston,origin_city_Las Vegas,origin_city_Los Angeles,origin_city_Minneapolis,origin_city_New York,origin_city_Newark,origin_city_Phoenix,origin_city_San Francisco,origin_city_Seattle,origin_city_Washington,dest_city_Charlotte,dest_city_Chicago,dest_city_Dallas/Fort Worth,dest_city_Denver,dest_city_Detroit,dest_city_Houston,dest_city_Las Vegas,dest_city_Los Angeles,dest_city_Minneapolis,dest_city_New York,dest_city_Orlando,dest_city_Phoenix,dest_city_San Francisco,dest_city_Seattle,dest_city_Washington,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_overnight,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_overnight
1,1192.0,0,3,111.5,4801900.0,14754.5,4587.0,20461.5,614.0,3.0,75.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5,733.0,0,3,202.0,4404206.0,10587.0,0.0,24088.0,673.0,2.0,-18.0,5327632.2,5327632.2,7937670.4,7937670.4,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,255.0,5,2,68.5,2972900.0,8650.0,15053.5,3058.0,614.0,1.0,-14.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
21,1916.0,4,2,74.0,3614000.0,10537.0,10572.0,16174.0,698.0,4.0,19.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,502.0,1,2,5.0,228660.0,709.0,61.0,341.0,698.0,2.0,-13.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
28,1464.0,2,1,63.5,965200.0,4062.0,0.0,13682.0,673.0,3.0,-28.0,6214610.8,6214610.8,12885113.2,12885113.2,2019,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
30,696.0,2,4,62.0,1853800.0,5235.0,1638.0,6843.0,608.0,2.0,45.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,594.0,4,2,25.0,892400.0,2860.5,9702.0,2326.5,888.0,2.0,-19.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
38,226.0,3,3,26.0,777400.0,1814.0,3887.0,1065.0,608.0,1.0,3.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
43,541.0,2,4,17.5,692000.0,2264.0,5410.0,1366.5,699.0,2.0,20.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
50,1235.0,5,1,3.0,304650.0,655.5,7770.0,465.0,698.0,3.0,-9.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,502.0,3,5,102.0,1535600.0,3416.5,1679.5,8763.5,631.0,2.0,19.0,0.0,0.0,0.0,0.0,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1874.0,2,5,11.0,425148.0,1738.5,1999.5,2813.0,694.0,4.0,-28.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
63,235.0,6,2,35.5,521700.0,1892.0,0.0,1687.0,629.0,1.0,-30.0,6214610.8,6214610.8,12885113.2,12885113.2,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
72,925.0,2,2,6.0,257259.0,836.0,2328.0,734.0,626.0,2.0,-8.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
74,606.0,0,4,5.0,163500.0,578.0,570.0,428.0,608.0,2.0,-5.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,733.0,3,1,64.0,2620194.0,8428.0,765.0,6134.0,698.0,2.0,-7.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
80,1020.0,3,1,36.0,1301596.5,3804.0,759.0,4629.0,694.0,3.0,-28.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
82,236.0,2,2,49.0,1979600.0,6989.0,542.0,2120.0,614.0,1.0,-9.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1849.0,2,3,8.0,316400.0,1195.0,6053.5,1642.5,612.0,4.0,-18.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
91,334.0,6,3,81.5,3124210.0,9137.5,710.5,4487.0,614.0,1.0,-23.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
92,867.0,0,3,26.0,970000.0,2727.5,5657.0,3012.0,612.0,2.0,0.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,680.0,0,4,15.0,651000.0,2128.0,3759.0,1356.0,614.0,2.0,-25.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,1034.0,2,2,8.0,137180.0,460.0,0.0,1210.0,638.0,3.0,-46.0,6214610.8,6214610.8,12885113.2,12885113.2,2019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1034.0,3,3,102.0,1821720.0,7203.0,0.0,15137.0,673.0,3.0,-17.0,0.0,0.0,0.0,0.0,2019,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
123,1440.0,1,1,37.5,1367031.5,4613.0,445.5,6475.0,614.0,3.0,-5.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,602.0,6,1,36.0,1159200.0,4579.0,8515.0,3203.0,619.0,2.0,14.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
132,1535.0,6,1,26.5,1175990.0,3928.0,8736.5,5428.0,888.0,4.0,-13.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
139,255.0,3,4,148.0,5521200.0,16742.5,16103.0,6782.5,612.0,1.0,-14.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
179,529.0,2,3,48.5,925962.0,2798.5,0.0,4415.0,677.0,2.0,-3.0,5327632.2,5327632.2,7937670.4,7937670.4,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
180,235.0,0,4,35.5,521700.0,1892.0,0.0,1687.0,629.0,1.0,81.0,6214610.8,6214610.8,12885113.2,12885113.2,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,370.0,5,4,145.0,5017000.0,15653.0,10715.0,8949.0,612.0,1.0,23.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
216,228.0,3,1,106.0,1325000.0,3832.0,0.0,5056.0,629.0,1.0,-13.0,0.0,0.0,0.0,0.0,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
219,1075.0,6,4,44.0,946088.0,2500.0,0.0,5860.0,638.0,3.0,-24.0,0.0,0.0,0.0,0.0,2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,331.0,4,4,28.5,1136400.0,2880.0,4541.0,1790.5,698.0,1.0,1.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
237,2248.0,2,2,55.0,2226150.0,7631.5,343.5,14355.0,614.0,5.0,-22.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
253,679.0,1,4,51.5,1674768.5,5340.5,6498.0,5142.0,698.0,2.0,-22.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
255,762.0,2,4,128.5,4446100.0,14855.5,12870.5,15283.0,612.0,2.0,5.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
257,1514.0,4,4,27.5,1142586.0,4391.5,1317.5,5572.5,634.0,4.0,-16.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,680.0,0,5,2.0,79660.0,200.5,12.0,204.0,656.0,2.0,7.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
269,801.0,6,3,77.0,3009900.0,9566.0,16863.0,7994.0,655.0,2.0,1.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
272,1589.0,3,3,6.5,354775.0,1080.5,1026.5,1233.5,622.0,4.0,86.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
278,733.0,2,4,337.0,13449660.0,38208.0,10777.0,40270.0,614.0,2.0,30.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
288,1635.0,6,2,24.0,1228051.0,4285.0,12445.0,5097.0,623.0,4.0,-10.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
300,651.0,1,5,90.0,3114000.0,9377.0,30287.0,9073.0,612.0,2.0,-17.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
314,599.0,0,4,13.5,489200.0,1181.0,109.0,1147.0,698.0,2.0,-13.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
317,547.0,1,1,15.0,448500.0,1526.0,416.0,1117.0,698.0,2.0,-11.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
319,1979.0,3,5,24.0,977380.0,3374.0,8338.0,5545.0,622.0,4.0,30.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
324,2475.0,3,5,295.0,14279500.0,26172.0,91217.0,86579.0,699.0,5.0,9.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
325,1020.0,1,4,49.0,1950600.0,5519.0,13093.5,7430.5,614.0,3.0,6.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
335,931.0,5,1,5.0,95460.0,245.0,0.0,593.0,677.0,2.0,-19.0,5327632.2,5327632.2,7937670.4,7937670.4,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
345,2475.0,3,3,68.0,4862660.0,10659.0,687443.0,22740.0,626.0,5.0,89.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
349,689.0,0,5,3.0,117582.5,392.5,37.0,265.5,608.0,2.0,-21.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
350,337.0,2,5,18.0,273600.0,1255.0,0.0,1098.0,673.0,1.0,-5.0,6214610.8,6214610.8,12885113.2,12885113.2,2019,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
357,1075.0,5,4,12.5,233060.0,695.0,0.0,1671.5,638.0,3.0,-25.0,6214610.8,6214610.8,12885113.2,12885113.2,2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
364,602.0,1,4,36.0,1159200.0,4579.0,8515.0,3203.0,619.0,2.0,35.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
365,2279.0,0,4,61.0,3153700.0,8987.0,9471.0,19202.0,699.0,5.0,-19.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
366,628.0,1,4,19.5,676849.5,2335.5,91.0,1672.5,698.0,2.0,12.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,907.0,6,2,3.0,306570.0,748.0,4004.0,371.0,656.0,2.0,-42.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
377,1055.0,0,2,8.0,670400.0,1769.0,2605.0,1002.0,622.0,3.0,24.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
382,594.0,6,4,25.0,976379.0,3444.0,7047.0,2224.0,614.0,2.0,-20.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,1337.0,2,3,61.0,927200.0,4246.0,0.0,12232.0,673.0,3.0,-16.0,6214610.8,6214610.8,12885113.2,12885113.2,2019,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
389,2475.0,0,2,295.0,14279500.0,26172.0,91217.0,86579.0,699.0,5.0,-8.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
392,404.0,4,3,86.5,3117600.0,10255.0,11367.5,5370.5,612.0,1.0,4.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
395,1444.0,1,4,111.0,4817400.0,17288.0,12547.0,18552.0,614.0,3.0,272.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
407,651.0,3,3,90.0,3114000.0,9377.0,30287.0,9073.0,612.0,2.0,15.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
408,1660.0,5,1,64.0,2578700.0,7567.0,3487.0,12405.0,614.0,4.0,-22.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
410,255.0,4,1,148.0,5521200.0,16742.5,16103.0,6782.5,612.0,1.0,16.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
411,544.0,2,3,25.0,477300.0,958.0,0.0,2002.0,677.0,2.0,5.0,5327632.2,5327632.2,7937670.4,7937670.4,2019,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
415,383.0,0,3,4.0,74000.0,252.0,0.0,282.0,631.0,1.0,-11.0,0.0,0.0,0.0,0.0,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
420,1444.0,0,3,84.0,2906400.0,11312.0,0.0,16506.0,612.0,3.0,-13.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
423,852.0,3,5,21.0,775200.0,2165.0,695.0,2417.0,655.0,2.0,7.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
425,925.0,5,2,6.0,257259.0,836.0,2328.0,734.0,626.0,2.0,-10.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
426,1009.0,2,2,30.0,1034500.0,3662.0,1141.0,4388.0,694.0,3.0,-21.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
438,500.0,0,4,2.0,79000.0,228.0,0.0,166.0,694.0,2.0,-17.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
443,337.0,1,3,7.0,229160.0,655.0,132.0,410.0,608.0,1.0,-3.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
448,370.0,3,2,28.0,1215200.0,3686.0,4766.0,1624.0,614.0,1.0,-19.0,156295770.8,156532592.0,293397830.2,293803944.4,2019,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
454,907.0,3,3,3.0,306570.0,748.0,4004.0,371.0,656.0,2.0,-20.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,1587.0,5,4,5.0,308700.0,1062.0,2820.0,899.0,694.0,4.0,-18.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
462,2565.0,2,3,17.0,1046840.5,2975.0,12547.0,5675.5,622.0,6.0,147.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
463,224.0,4,3,100.0,1786000.0,7043.0,0.0,4374.0,673.0,1.0,-6.0,0.0,0.0,0.0,0.0,2019,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,612.0,2,2,178.0,7172000.0,17592.0,3600.0,18236.0,614.0,2.0,-20.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
488,226.0,1,4,30.0,1191800.0,2773.0,1758.0,1383.0,678.0,1.0,-7.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
498,2475.0,3,1,47.0,2896782.5,7250.0,199913.0,13477.5,626.0,5.0,9.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
505,862.0,4,3,33.5,663849.0,2079.0,0.0,3836.0,677.0,2.0,2.0,0.0,0.0,0.0,0.0,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
510,733.0,2,4,49.0,1900070.0,5652.0,238.0,5807.0,614.0,2.0,62.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
512,867.0,1,4,38.0,1547060.0,4395.0,167.0,4463.0,608.0,2.0,-26.0,147684843.4,149458650.6,284064640.2,288453038.8,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
513,733.0,5,3,337.0,13449660.0,38208.0,10777.0,40270.0,614.0,2.0,-3.0,162609079.0,163140817.6,264949334.8,265791415.6,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
514,2065.0,0,5,8.5,312774.0,1229.5,39.0,1990.0,614.0,5.0,-12.0,115001515.0,115971276.2,191543386.6,193359267.6,2019,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
